Cluster ID,Match
0,BlackRock Advisors
0,BlackRock Advisors
1,Erste Bank
1,Erste Bank
2,CACEIS Bank
2,CACEIS Bank
3,Interactive Brokers
3,Interactive Brokers
3,Interactive Brokers
3,Interactive Brokers
3,Interactive Brokers
3,Interactive Brokers
3,Interactive Brokers
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
4,Merrill Lynch International
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
5,J.P. Morgan
6,HSBC
6,HSBC
6,HSBC
7,Texas Capital Bank
7,Texas Capital Bank
7,Texas Capital Bank
7,Texas Capital Bank
8,Fidelity Investments
8,Fidelity Investments
8,Fidelity Investments
8,Fidelity Investments
8,Fidelity Investments
8,Fidelity Investments
8,Fidelity Investments
8,Fidelity Investments
9,Kleinwort Benson
9,Kleinwort Benson
10,ABN AMRO Bank
10,ABN AMRO Bank
11,Charles Schwab & Co.
11,Charles Schwab & Co.
11,Charles Schwab & Co.
11,Charles Schwab & Co.
12,HSBC
12,HSBC
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
13,MUFG Union Bank
14,Trinidad and Tobago Central Depository
14,Trinidad and Tobago Central Depository
15,Daiwa Capital Markets America
15,Daiwa Capital Markets America
16,Industrial and Commercial Bank of China Financial Services
16,Industrial and Commercial Bank of China Financial Services
17,Bull & Bear
17,Bull & Bear
18,Banco Itau
18,Banco Itau
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
19,BMO Harris Bank
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
20,U.S. Bank National Association
21,City National Bank
21,City National Bank
22,First Republic Bank
22,First Republic Bank
22,First Republic Bank
22,First Republic Bank
22,First Republic Bank
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
23,Citco Global Custody
24,INTL FCStone
24,INTL FCStone
25,American Stock Transfer & Trust Company
25,American Stock Transfer & Trust Company
26,ING Bank
26,ING Bank
26,ING Bank
26,ING Bank
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
27,BNY Mellon
28,TD Ameritrade
28,TD Ameritrade
28,TD Ameritrade
28,TD Ameritrade
29,Boston Private Bank & Trust Company
29,Boston Private Bank & Trust Company
30,Rosenthal Collins Group
30,Rosenthal Collins Group
30,Rosenthal Collins Group
31,The Private Bank
31,The Private Bank
31,The Private Bank
32,Millennium Trust Company
32,Millennium Trust Company
32,Millennium Trust Company
32,Millennium Trust Company
32,Millennium Trust Company
33,Altree Custody Services
33,Altree Custody Services
33,Altree Custody Services
34,UBS
34,UBS
35,Credit Agricole Corporate and Investment Bank
35,Credit Agricole Corporate and Investment Bank
36,Northbrook Bank & Trust
36,Northbrook Bank & Trust
36,Northbrook Bank & Trust
36,Northbrook Bank & Trust
36,Northbrook Bank & Trust
37,Hudson & Cie
37,Hudson & Cie
38,U.S. Bank Institutional Trust & Custody
38,U.S. Bank Institutional Trust & Custody
39,Colorado State Bank and Trust
39,Colorado State Bank and Trust
40,Royal Bank of Scotland
40,Royal Bank of Scotland
41,TD Bank
41,TD Bank
41,TD Bank
42,Citizens Bank
42,Citizens Bank
43,Capital One Bank
43,Capital One Bank
43,Capital One Bank
43,Capital One Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
44,Deutsche Bank
45,Signature Bank
45,Signature Bank
46,PNC
46,PNC
46,PNC
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
47,Bank of America Merrill Lynch
48,Computershare
48,Computershare
49,US Bancorp Fund Services
49,US Bancorp Fund Services
49,US Bancorp Fund Services
49,US Bancorp Fund Services
49,US Bancorp Fund Services
49,US Bancorp Fund Services
50,Pershing Prime Services
50,Pershing Prime Services
50,Pershing Prime Services
50,Pershing Prime Services
51,HSBC
51,HSBC
52,Scotia Capital
52,Scotia Capital
53,SG Americas Securities
53,SG Americas Securities
54,Continental Stock Transfer & Trust Company
54,Continental Stock Transfer & Trust Company
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
55,Northern Trust Custody Services
56,Richardson GMP
56,Richardson GMP
57,TD Securities
57,TD Securities
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
58,Goldman Sachs
59,Vanguard Marketing Corporation
59,Vanguard Marketing Corporation
60,Banco Santander
60,Banco Santander
60,Banco Santander
60,Banco Santander
61,DBS Bank
61,DBS Bank
61,DBS Bank
62,Cullen/Frost Bankers
62,Cullen/Frost Bankers
63,Stifel Nicolaus & Company
63,Stifel Nicolaus & Company
64,BTG Pactual
64,BTG Pactual
65,Brown Brothers Harriman
65,Brown Brothers Harriman
65,Brown Brothers Harriman
65,Brown Brothers Harriman
65,Brown Brothers Harriman
65,Brown Brothers Harriman
66,HSBC
66,HSBC
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
67,BNP Paribas
68,UBS
68,UBS
69,Wintrust Bank
69,Wintrust Bank
69,Wintrust Bank
69,Wintrust Bank
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
70,Citi Transaction Services
71,Standard Chartered Bank
71,Standard Chartered Bank
71,Standard Chartered Bank
71,Standard Chartered Bank
72,Wedbush Securities
72,Wedbush Securities
73,SunTrust Banks
73,SunTrust Banks
73,SunTrust Banks
73,SunTrust Banks
73,SunTrust Banks
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
74,Morgan Stanley
75,Nomura Securities
75,Nomura Securities
75,Nomura Securities
76,KT Zmico Securities Company
76,KT Zmico Securities Company
77,NLB Tutunska banka
77,NLB Tutunska banka
78,Standard Bank
78,Standard Bank
79,Barclays
79,Barclays
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
80,State Street Custody Services
81,Wilmington Trust
81,Wilmington Trust
82,Societe Generale Newedge UK
82,Societe Generale Newedge UK
82,Societe Generale Newedge UK
83,BMO Nesbitt Burns
83,BMO Nesbitt Burns
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
84,Credit Suisse Prime Fund Services
85,Kotak Mahindra Bank
85,Kotak Mahindra Bank
85,Kotak Mahindra Bank
85,Kotak Mahindra Bank
85,Kotak Mahindra Bank
86,Jefferies
86,Jefferies
87,UBS
87,UBS
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
88,Wells Fargo
89,Barclays
89,Barclays
90,Advantage Futures
91,Albert Fried & Company
92,Alianza Fiduciaria
93,Analytica
94,Apex Fund Services
95,Auerbach Grayson and Company
96,Australia and New Zealand Banking Group
97,BM&FBOVESPA
98,Banco Bradesco
99,Banco de Chile
100,Banco Paulista
101,Bank of Ireland
102,Bank of Jordan
103,Bank of Valletta
104,Barclays
105,Barclays
106,Barclays
107,Barclays
108,Barclays
109,Barclays
110,Barclays
111,Barclays
112,BB&T
113,BB&T
114,BBVA Bancomer
115,BDSec
116,BDSec
117,BMA Securities
118,Boston Financial Data Services
119,Bourse Securities
120,Brink's Global Services International
121,BSP Capital
122,BTIG
123,Butterfield
124,Butterfield
125,California Bank & Trust
126,Canaccord Capital Corporation
127,Canadia Bank
128,Cantor Prime Services
129,Capital Market Brokers
130,Central Depository Agency of Podgorica
131,Central Securities Clearing System
132,Central Securities Depository (GH)
133,Ceros Financial Services
134,China Merchants Securities
135,CIBC Bank and Trust
136,CIBC Mellon Global Securities Services
137,CLSA
138,Computershare
139,Computershare
140,Computershare
141,Computershare
142,CSL Stockbrokers
143,ED&F Man Capital Markets
144,Etrade Securities
145,Edelweiss Custodial Services
146,Banque Priv_e Edmond de Rothschild
147,EFG-Hermes
148,Federated Investors
149,First Clearing
150,First Tennessee Bank
151,Global Prime Partners
152,Golomt bank
153,HSBC
154,HSBC
155,Hartleys
156,Haywood Securities
157,HDFC
158,HSBC
159,HSBC
160,HSBC
161,HSBC
162,HSBC
163,HSBC
164,HSBC
165,HSBC
166,HSBC
167,HSBC
168,HSBC
169,HSBC
170,HSBC
171,HSBC
172,HSBC
173,HSBC
174,IC Securities
175,ICICI Bank
176,Imara Edwards Securities
177,InterClear Central De Valores
178,International Fund Services
179,Investment Bank Vesta
180,Jamaica Central Securities Depository
181,Jefferies
182,Jefferies
183,Jefferies
184,Jefferies
185,Jefferies
186,Jefferies
187,KCB Rwanda
188,KeyBank
189,KeyBank
190,KGS-Alpha Capital Markets
191,Korea Investment & Securities
192,Ladenburg Thalmann Financial Services
193,Loomis International
194,M&T Bank
195,MAC SA
196,Macquarie Bank
197,Maples Fund Services
198,Maxim Group
199,Mitsubishi UFJ Global Custody
200,Mizuho Securities
201,Morgan Stanley Smith Barney
202,NexBank
203,Nova Banka
204,Oppenheim
205,PlainsCapital Bank
206,PNC
207,PNC
208,PrinsBank
209,Rabee Securities
210,Rand Financial Services
211,Raymond James & Associates
212,Bancpost
213,Sahem Trading & Investments Company
214,Sapien Capital
215,SBI-SG Global Securities Services
216,Scottrade
217,Seaport Group Securities
218,SG Hambros
219,Shinhan Bank
220,Silicon Valley Bank
221,South Street Securities
222,Stamford Bank & Trust
223,Stanbic Bank Tanzania
224,Stockbrokers Malawi
225,Svenska Handelsbanken
226,Swissquote Bank
227,Tadawul
228,The PrivateBank and Trust
229,UBS
230,UBS
231,UBS
232,UBS
233,UBS
234,UBS
235,UBS
236,UBS
237,UBS
238,UBS
239,V-Bank
240,Victor Paullier & Cia
241,Weeden Prime Services
242,Wells Fargo Advisors
243,"Winslow, Evans & Crocker Inc."